ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason,entry_reason,origin_id,tf
1,BTCUSDT,BULLISH,7215.54,7015.54,0.5,-100.0,2020-01-01 15:30:00,2020-01-02 17:00:00,Stop Loss,M30#4de0618d603b D1 Inertial Flow (Liberated) [T3],d1cf13ee63ab,M30
2,BTCUSDT,BULLISH,7215.42,7015.42,0.5,-100.0,2020-01-01 16:30:00,2020-01-02 17:00:00,Stop Loss,M30#37e20e97308e D1 Inertial Flow (Liberated) [T3],d1cf13ee63ab,M30
3,BTCUSDT,BULLISH,7206.6849999999995,6992.65,0.4672133062349619,-100.0,2020-01-01 22:30:00,2020-01-02 17:00:00,Stop Loss,H1#1095b94ecced D1 Inertial Flow (Liberated) [T2],d1cf13ee63ab,H1
7,BTCUSDT,BEARISH,6979.44,7179.44,0.485,-97.0,2020-01-02 20:00:00,2020-01-03 04:30:00,Stop Loss,M30#fc139ea02604 D1 Inertial Flow (Liberated) [T3],b45b266345e3,M30
4,BTCUSDT,BEARISH,7142.99,7342.99,0.5,-100.0,2020-01-02 08:00:00,2020-01-03 09:30:00,Stop Loss,M30#011a0a2443bc D1 Inertial Flow (Liberated) [T3],b45b266345e3,M30
6,BTCUSDT,BEARISH,7141.16,7355.08,0.46746447270007463,-100.0,2020-01-02 16:00:00,2020-01-03 09:30:00,Stop Loss,H1#4f46b557354f D1 Inertial Flow (Liberated) [T2],b45b266345e3,H1
5,BTCUSDT,BEARISH,7107.56,7429.49,0.31062653371851084,-100.0,2020-01-02 16:00:00,2020-01-05 01:00:00,Stop Loss,H4#9de99a42a5dc D1 Inertial Flow (Liberated) [T1],b45b266345e3,H4
15,BTCUSDT,BULLISH,8738.06,8538.06,0.46515,-93.03,2020-01-15 16:00:00,2020-01-19 11:00:00,Stop Loss,M30#e2a38c2f7e3d D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
17,BTCUSDT,BULLISH,8729.95,8529.95,0.46515,-93.03,2020-01-16 00:30:00,2020-01-19 11:00:00,Stop Loss,M30#dee74126887c D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
18,BTCUSDT,BULLISH,8653.29,8453.29,0.4558469999999999,-91.16939999999998,2020-01-19 21:00:00,2020-01-19 22:00:00,Stop Loss,M30#0ded81a5d816 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
20,BTCUSDT,BULLISH,8645.87,8445.87,0.4512885299999999,-90.25770599999998,2020-01-20 05:00:00,2020-01-23 09:30:00,Stop Loss,M30#84cdec53008a D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
14,BTCUSDT,BULLISH,8716.625,8431.59,0.3263809707579773,-93.03,2020-01-15 16:00:00,2020-01-23 10:00:00,Stop Loss,H1#b8466ca1dd99 D1 Inertial Flow (Liberated) [T2],b85456071d67,H1
16,BTCUSDT,BULLISH,8768.17,8431.59,0.27639788460395753,-93.03,2020-01-15 20:00:00,2020-01-23 10:00:00,Stop Loss,H4#8f816ffe940a D1 Inertial Flow (Liberated) [T1],b85456071d67,H4
13,BTCUSDT,BULLISH,8512.939999999999,8307.88,0.45367209597191177,-93.03,2020-01-14 11:00:00,2020-01-24 02:30:00,Stop Loss,H1#e2fbd9894dc2 D1 Inertial Flow (Liberated) [T2],7343d3620791,H1
19,BTCUSDT,BULLISH,8502.74,8302.74,0.4558469999999999,-91.16939999999998,2020-01-19 22:00:00,2020-01-24 02:30:00,Stop Loss,M30#872a490302fd D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
8,BTCUSDT,BULLISH,7435.295,9266.02,0.42343141940329093,775.1864852870899,2020-01-05 15:00:00,2020-02-25 21:00:00,Stop Loss,H1#3e696c0ed83e D1 Inertial Flow (Liberated) [T2],7343d3620791,H1
9,BTCUSDT,BULLISH,7344.13,9266.02,0.4068130138184357,781.8498631275136,2020-01-05 22:00:00,2020-02-25 21:00:00,Stop Loss,H4#c5d12e2ddab7 D1 Inertial Flow (Liberated) [T1],7343d3620791,H4
10,BTCUSDT,BULLISH,7326.6,9266.02,0.41822513936342287,811.1141997842096,2020-01-05 22:00:00,2020-02-25 21:00:00,Stop Loss,H1#70e4d6ba79d4 D1 Inertial Flow (Liberated) [T2],7343d3620791,H1
11,BTCUSDT,BULLISH,7331.99,9266.02,0.46515,899.6140545000003,2020-01-05 22:00:00,2020-02-25 21:00:00,Stop Loss,M30#2e88ab34e74f D1 Inertial Flow (Liberated) [T3],7343d3620791,M30
26,BTCUSDT,BULLISH,9208.55,8987.0,0.534101471302137,-118.33018096698807,2020-02-26 02:00:00,2020-02-26 14:00:00,Stop Loss,H4#e32b41d0b465 D1 Inertial Flow (Liberated) [T1],b85456071d67,H4
27,BTCUSDT,BULLISH,9144.29,8944.29,0.5916509048349404,-118.33018096698808,2020-02-26 02:00:00,2020-02-26 16:00:00,Stop Loss,H1#65c3c44656c7 D1 Inertial Flow (Liberated) [T3],b85456071d67,H1
28,BTCUSDT,BULLISH,9169.82,8969.82,0.5916509048349404,-118.33018096698808,2020-02-26 02:00:00,2020-02-26 16:00:00,Stop Loss,H1#737164546c1f D1 Inertial Flow (Liberated) [T3],b85456071d67,H1
29,BTCUSDT,BULLISH,9169.82,8969.82,0.5916509048349404,-118.33018096698808,2020-02-26 02:00:00,2020-02-26 16:00:00,Stop Loss,M30#56fc2b9756c1 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
22,BTCUSDT,BULLISH,8483.95,8633.95,0.3892412403544627,58.38618605316941,2020-01-24 21:00:00,2020-02-26 16:30:00,Stop Loss,H1#ea337ccc0058 D1 Inertial Flow (Liberated) [T2],b85456071d67,H1
23,BTCUSDT,BULLISH,8463.9,8613.9,0.4282626746999998,64.23940120499996,2020-01-24 22:00:00,2020-02-26 16:30:00,Stop Loss,M30#cd5d5e3b3c40 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
12,BTCUSDT,BULLISH,8390.34,8540.34,0.46515,69.77250000000001,2020-01-14 03:30:00,2020-02-27 01:00:00,Stop Loss,M30#e0f6c5a62304 D1 Inertial Flow (Liberated) [T3],7343d3620791,M30
33,BTCUSDT,BULLISH,8795.4,8595.4,0.5776047730044511,-115.52095460089022,2020-02-28 05:00:00,2020-02-28 09:30:00,Stop Loss,M30#2c04c5ee99f9 D1 Inertial Flow (Liberated) [T3],b85456071d67,M30
